,Bina novu,mekan,mertebe,otaq sayi,qiymet,sahe,sened
332,Yeni Tikili,Yasamal r.,10.0,4,165000,141 ,Kupcali
333,Yeni Tikili,Yasamal r.,13.0,3,108000,113 ,Kupcali
334,Yeni Tikili,Xetai r.,17.0,3,135000,108 ,Kupcali
335,Yeni Tikili,Xetai r.,11.0,3,95000,116 ,Kupcasiz
336,Yeni Tikili,Nizami r.,15.0,2,112000,67 ,Kupcali
337,Yeni Tikili,Nesimi r.,4.0,4,296000,190 ,Kupcali
338,Kohne Tikili,,,1,68000,35 ,Kupcali
339,Kohne Tikili,Sebail r.,2.0,2,77000,50 ,Kupcali
340,Yeni Tikili,Yasamal r.,7.0,3,137000,107 ,Kupcasiz
341,Kohne Tikili,Bineqedi r.,8.0,5,195000,120 ,Kupcali
342,Yeni Tikili,Xetai r.,9.0,3,219000,137 ,Kupcali
343,Yeni Tikili,Yasamal r.,14.0,3,150000,133 ,Kupcasiz
344,Kohne Tikili,Nesimi r.,3.0,2,79000,43 ,Kupcali
345,Kohne Tikili,Nesimi r.,6.0,3,270000,135 ,Kupcasiz
346,Kohne Tikili,Yasamal r.,5.0,4,123000,90 ,Kupcali
347,Yeni Tikili,Yasamal r.,15.0,4,158000,210 ,Kupcali
348,Yeni Tikili,Nerimanov r.,7.0,3,223000,155 ,Kupcali
349,Yeni Tikili,Nesimi r.,21.0,5,1222000,350 ,Kupcali
350,Kohne Tikili,Bineqedi r.,1.0,3,130000,110 ,Kupcali
351,Yeni Tikili,,15.0,3,145000,95 ,Kupcali
352,Yeni Tikili,Xetai r.,6.0,3,245000,130 ,Kupcali
353,Yeni Tikili,Yasamal r.,19.0,8,500000,1000 ,Kupcali
354,Yeni Tikili,Abseron r.,6.0,2,70000,70 ,Kupcali
355,Yeni Tikili,,15.0,2,113000,87 ,Kupcali
356,Kohne Tikili,Nerimanov r.,5.0,3,86000,70 ,Kupcali
357,Yeni Tikili,Nesimi r.,2.0,2,135000,75 ,Kupcasiz
358,Yeni Tikili,Yasamal r.,16.0,2,79000,74 ,Kupcasiz
359,Yeni Tikili,Yasamal r.,7.0,2,84000,68 ,Kupcali
360,Kohne Tikili,Yasamal r.,3.0,3,168000,80 ,Kupcali
361,Yeni Tikili,Yasamal r.,16.0,1,53000,42 ,Kupcali
362,Yeni Tikili,Xetai r.,5.0,2,130000,65 ,Kupcali
363,Kohne Tikili,Nizami r.,8.0,2,99000,60 ,Kupcali
364,Kohne Tikili,Nizami r.,4.0,1,27000,25 ,Kupcasiz
365,Kohne Tikili,Nerimanov r.,3.0,2,110000,75 ,Kupcali
366,Kohne Tikili,Qaradag r.,2.0,3,139000,60 ,Kupcali
